action_l2,action_max_absolute,base_index,candidate_seed,changed,concordance,concordant,depth,depth_index,direction,discordant,episode_id,kendall_tau_b,normalized_top_choice_regret,oracle_simulator_cost,prediction_ties,row_id,selected_index_within_valid,selected_simulator_cost,simulator_cost_delta,simulator_ties,spearman,top_10_jaccard,top_10_predicted_size,top_10_recall,top_10_simulator_size,top_30_jaccard,top_30_predicted_size,top_30_recall,top_30_simulator_size,top_choice_regret,valid_candidates
,,,2026072701,,0.4681159420289855,20995,0,,,23855,957,-0.06376811594202898,0.17101562684531207,8974.564992415068,0,119163,0,10174.083271762514,,0,-0.10016422404693386,0.0,10,0.0,10,0.05263157894736842,30,0.1,30,1199.5182793474469,300
0.0,0.0,0,2026072701,False,0.46608695652173915,20904,1,0,ties,23946,957,-0.06782608695652174,0.17101562684531207,8974.564992415068,0,119163,0,10174.083271762514,0.0,0,-0.1064082934254825,0.0,10,0.0,10,0.05263157894736842,30,0.1,30,1199.5182793474469,300
0.0,0.0,0,2026072701,False,0.46448160535117056,20832,2,0,ties,24018,957,-0.07103678929765887,0.17101562684531207,8974.564992415068,0,119163,0,10174.083271762514,0.0,0,-0.11099989999888886,0.0,10,0.0,10,0.034482758620689655,30,0.06666666666666667,30,1199.5182793474469,300
0.0,0.0,0,2026072701,False,0.462943143812709,20763,4,0,ties,24087,957,-0.07411371237458195,0.17101562684531207,8974.564992415068,0,119163,0,10174.083271762514,0.0,0,-0.11745019389104322,0.0,10,0.0,10,0.034482758620689655,30,0.06666666666666667,30,1199.5182793474469,300
,,,2026072702,,0.5052619843924192,22661,0,,,22189,957,0.01052396878483835,0.3130124983729402,8417.741481647701,0,119163,97,10742.570772918163,,0,0.010556117290192114,0.05263157894736842,10,0.1,10,0.09090909090909091,30,0.16666666666666666,30,2324.829291270462,300
0.0,0.0,97,2026072702,False,0.5037458193979933,22593,1,97,ties,22257,957,0.007491638795986622,0.3130124983729402,8417.741481647701,0,119163,97,10742.570772918163,0.0,0,0.004836053733930376,0.05263157894736842,10,0.1,10,0.07142857142857142,30,0.13333333333333333,30,2324.829291270462,300
0.0,0.0,97,2026072702,False,0.5013823857302118,22487,2,97,ties,22363,957,0.002764771460423634,0.3130124983729402,8417.741481647701,0,119163,97,10742.570772918163,0.0,0,-0.0013635707063411814,0.05263157894736842,10,0.1,10,0.07142857142857142,30,0.13333333333333333,30,2324.829291270462,300
0.0,0.0,97,2026072702,False,0.4977926421404682,22326,4,97,ties,22524,957,-0.004414715719063545,0.3130124983729402,8417.741481647701,0,119163,97,10742.570772918163,0.0,0,-0.012458360648451648,0.05263157894736842,10,0.1,10,0.07142857142857142,30,0.13333333333333333,30,2324.829291270462,300
,,,2026072701,,0.5832552954292085,26159,0,,,18691,11613,0.16651059085841693,0.1921387831594297,10078.715219280992,0,1458174,0,11115.226318413172,,0,0.25538950432782587,0.0,10,0.0,10,0.01694915254237288,30,0.03333333333333333,30,1036.5110991321799,300
0.0,0.0,0,2026072701,False,0.5938238573021182,26633,1,0,ties,18217,11613,0.18764771460423635,0.1921387831594297,10078.715219280992,0,1458174,0,11115.226318413172,0.0,0,0.28324181379793106,0.0,10,0.0,10,0.01694915254237288,30,0.03333333333333333,30,1036.5110991321799,300
3.4666896649858496,1.4867641925811768,0,2026072701,True,0.6034782608695652,27066,2,17,harms,17784,11613,0.20695652173913043,0.46434322395312316,10078.715219280992,0,1458174,17,12583.65928897914,1468.4329705659675,0,0.3125923621373571,0.0,10,0.0,10,0.01694915254237288,30,0.03333333333333333,30,2504.9440696981474,300
3.4666896649858496,1.4867641925811768,0,2026072701,True,0.6201783723522853,27815,4,17,harms,17035,11613,0.2403567447045708,0.46434322395312316,10078.715219280992,0,1458174,17,12583.65928897914,1468.4329705659675,0,0.35988755430615893,0.0,10,0.0,10,0.01694915254237288,30,0.03333333333333333,30,2504.9440696981474,300
,,,2026072702,,0.5641471571906355,25302,0,,,19548,11613,0.12829431438127092,0.2825098128416051,9223.005798201566,0,1458174,0,11455.340950733516,,0,0.19192124356937298,0.0,10,0.0,10,0.034482758620689655,30,0.06666666666666667,30,2232.3351525319504,300
0.0,0.0,0,2026072702,False,0.5781716833890747,25931,1,0,ties,18919,11613,0.1563433667781494,0.2825098128416051,9223.005798201566,0,1458174,0,11455.340950733516,0.0,0,0.23316570184113153,0.0,10,0.0,10,0.034482758620689655,30,0.06666666666666667,30,2232.3351525319504,300
0.0,0.0,0,2026072702,False,0.5919286510590859,26548,2,0,ties,18302,11613,0.1838573021181717,0.2825098128416051,9223.005798201566,0,1458174,0,11455.340950733516,0.0,0,0.27187413193479926,0.0,10,0.0,10,0.034482758620689655,30,0.06666666666666667,30,2232.3351525319504,300
3.313419700164306,1.292553186416626,0,2026072702,True,0.6175696767001115,27698,4,258,harms,17152,11613,0.235139353400223,0.4088604200458415,9223.005798201566,0,1458174,258,12453.7377822231,998.3968314895828,0,0.34171890798786647,0.0,10,0.0,10,0.05263157894736842,30,0.1,30,3230.731984021533,300
,,,2026072701,,0.5232998885172798,23470,0,,,21380,14904,0.04659977703455965,0.4191054078801781,9481.003023625488,0,1876083,99,13142.461825160672,,0,0.052722363581817575,0.0,10,0.0,10,0.034482758620689655,30,0.06666666666666667,30,3661.4588015351837,300
0.0,0.0,99,2026072701,False,0.5245039018952062,23524,1,99,ties,21326,14904,0.04900780379041249,0.4191054078801781,9481.003023625488,0,1876083,99,13142.461825160672,0.0,0,0.05636329292547694,0.0,10,0.0,10,0.034482758620689655,30,0.06666666666666667,30,3661.4588015351837,300
0.0,0.0,99,2026072701,False,0.5252619843924192,23558,2,99,ties,21292,14904,0.05052396878483835,0.4191054078801781,9481.003023625488,0,1876083,99,13142.461825160672,0.0,0,0.05958021755797286,0.0,10,0.0,10,0.034482758620689655,30,0.06666666666666667,30,3661.4588015351837,300
4.492640674261576,1.7227537631988525,99,2026072701,True,0.5278929765886288,23676,4,68,harms,21174,14904,0.055785953177257534,0.5814498111821976,9481.003023625488,0,1876083,68,14560.762169593594,1418.3003444329224,0,0.06685229835887065,0.0,10,0.0,10,0.034482758620689655,30,0.06666666666666667,30,5079.759145968106,300
